Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
454,-2559320,0,0,0,0,0,0,07,1,0,0
455,-2559280,0,0,0,0,0,0,07,0,0,0
456,-2559240,0,0,0,0,0,0,07,1,0,0
457,-2559200,0,0,0,0,0,0,07,0,0,0
458,-2559160,0,0,0,0,0,0,07,1,0,0
459,-2559120,0,0,0,0,0,0,07,0,0,0
460,-2559080,0,0,0,0,0,0,07,1,0,0
461,-2559040,0,0,0,0,0,0,07,0,0,0
462,-2559000,0,0,0,0,0,0,07,1,0,0
463,-2558960,0,0,0,0,0,0,07,0,0,0
464,-2558920,0,0,0,0,0,0,07,1,0,0
465,-2558880,0,0,0,0,0,0,07,0,0,0
466,-2558840,0,0,0,0,0,0,07,1,0,0
467,-2558800,0,0,0,0,0,0,07,0,0,0
468,-2558760,0,0,0,0,0,0,07,1,0,0
469,-2558720,0,0,0,0,0,0,07,0,0,0
470,-2558680,0,0,0,0,0,0,07,1,0,0
471,-2558640,0,0,0,0,0,0,07,0,0,0
472,-2558600,0,0,0,0,0,0,07,1,0,0
473,-2558560,0,0,0,0,0,0,07,0,0,0
474,-2558520,0,0,0,0,0,0,07,1,0,0
475,-2558480,0,0,0,0,0,0,07,0,0,0
476,-2558440,0,0,0,0,0,0,07,1,0,0
477,-2558400,0,0,0,0,0,0,07,0,0,0
478,-2558360,0,0,0,0,0,0,07,1,0,0
479,-2558320,0,0,0,0,0,0,07,0,0,0
480,-2558280,0,0,0,0,0,0,07,1,0,0
481,-2558240,0,0,0,0,0,0,07,0,0,0
482,-2558200,0,0,0,0,0,0,07,1,0,0
483,-2558160,0,0,0,0,0,0,07,0,0,0
484,-2558120,0,0,0,0,0,0,07,1,0,0
485,-2558080,0,0,0,0,0,0,07,0,0,0
486,-2558040,0,0,0,0,0,0,07,1,0,0
487,-2558000,0,0,0,0,0,0,07,0,0,0
488,-2557960,0,0,0,0,0,0,07,1,0,0
489,-2557920,0,0,0,0,0,0,07,0,0,0
490,-2557880,0,0,0,0,0,0,07,1,0,0
491,-2557840,0,0,0,0,0,0,07,0,0,0
492,-2557800,0,0,0,0,0,0,07,1,0,0
493,-2557760,0,0,0,0,0,0,07,0,0,0
494,-2557720,0,0,0,0,0,0,07,1,0,0
495,-2557680,0,0,0,0,0,0,07,0,0,0
496,-2557640,0,0,0,0,0,0,07,1,0,0
497,-2557600,0,0,0,0,0,0,07,0,0,0
498,-2557560,0,0,0,0,0,0,07,1,0,0
499,-2557520,0,0,0,0,0,0,07,0,0,0
500,-2557480,0,0,0,0,0,0,07,1,0,0
501,-2557440,0,0,0,0,0,0,07,0,0,0
502,-2557400,0,0,0,0,0,0,07,1,0,0
503,-2557360,0,0,0,0,0,0,07,0,0,0
504,-2557320,0,0,0,0,0,0,07,1,0,0
505,-2557280,0,0,0,0,0,0,07,0,0,0
506,-2557240,0,0,0,0,0,0,07,1,0,0
507,-2557200,0,0,0,0,0,0,07,0,0,0
508,-2557160,0,0,0,0,0,0,07,1,0,0
