Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
477,11040,0,0,1,02,1,1,1,1,1,1
478,11090,0,0,0,02,1,1,1,1,1,1
479,11100,0,1,0,02,1,1,1,1,1,1
480,11110,0,1,0,02,0,1,1,0,1,1
481,11120,0,1,1,02,0,0,0,0,0,0
482,11170,0,1,0,02,0,0,0,0,0,0
483,11180,0,1,0,02,1,0,0,1,0,0
484,11190,0,1,0,02,1,1,0,1,1,0
485,11200,0,1,1,02,1,1,1,1,1,1
486,11250,0,1,0,02,1,1,1,1,1,1
487,11270,0,1,0,02,0,1,1,0,1,1
488,11280,0,1,1,02,0,0,0,0,0,0
489,11330,0,1,0,02,0,0,0,0,0,0
490,11340,0,1,0,02,1,0,0,1,0,0
491,11350,0,1,0,02,1,1,0,1,1,0
492,11360,0,1,1,02,1,1,1,1,1,1
493,11410,0,1,0,02,1,1,1,1,1,1
494,11420,1,1,0,02,1,1,1,1,1,1
495,11430,1,1,0,02,0,1,1,0,1,1
496,11440,1,1,1,02,0,0,0,0,0,0
497,11490,1,1,0,02,0,0,0,0,0,0
498,11500,1,0,0,02,0,0,0,0,0,0
499,11520,1,0,1,02,0,0,0,0,0,0
500,11570,1,0,0,02,0,0,0,0,0,0
501,11600,1,0,1,02,0,0,0,0,0,0
502,11650,1,0,0,02,0,0,0,0,0,0
503,11680,1,0,1,02,0,0,0,0,0,0
504,11730,1,0,0,02,0,0,0,0,0,0
505,11750,0,0,0,02,0,0,0,0,0,0
506,11760,0,0,1,02,0,0,0,0,0,0
507,11810,0,0,0,02,0,0,0,0,0,0
508,11840,0,0,1,02,0,0,0,0,0,0
509,11890,0,0,0,02,0,0,0,0,0,0
510,11920,0,0,1,02,0,0,0,0,0,0
511,11970,0,0,0,02,0,0,0,0,0,0
512,12000,0,0,1,02,0,0,0,0,0,0
513,12050,0,0,0,02,0,0,0,0,0,0
514,12080,0,0,1,02,0,0,0,0,0,0
515,12130,0,0,0,02,0,0,0,0,0,0
516,12160,0,0,1,02,0,0,0,0,0,0
517,12210,0,0,0,02,0,0,0,0,0,0
518,12240,0,0,1,02,0,0,0,0,0,0
519,12290,0,0,0,02,0,0,0,0,0,0
520,12320,0,0,1,02,0,0,0,0,0,0
521,12370,0,0,0,02,0,0,0,0,0,0
522,12400,0,0,1,02,0,0,0,0,0,0
523,12450,0,0,0,02,0,0,0,0,0,0
524,12480,0,0,1,02,0,0,0,0,0,0
525,12530,0,0,0,02,0,0,0,0,0,0
526,12540,0,0,0,02,1,0,0,1,0,0
527,12550,0,0,0,02,1,1,0,1,1,0
528,12560,0,0,1,02,1,1,1,1,1,1
529,12610,0,0,0,02,1,1,1,1,1,1
530,12640,0,0,1,02,1,1,1,1,1,1
531,12690,0,0,0,02,1,1,1,1,1,1
532,12710,0,0,0,02,0,1,1,0,1,1
533,12720,0,0,1,02,0,0,0,0,0,0
